DATE (MM/DD/YYYY),HOUR-MST,Avg Global Horiz (platform) [W/m^2],Avg Direct Normal [W/m^2],Avg Diffuse Horiz [W/m^2],Avg Air Temperature [deg C],Avg Rel Humidity [%],Avg Temp CM22 (platform) [deg C],Avg Temp CHP1 [deg C]
12/31/2012,1,-1.0132,0.0000,0.0041,5.5161,85.7650,10.4197,9.4637
12/31/2012,2,-1.0191,-0.0024,0.0095,5.8334,83.8200,10.7693,9.9085
12/31/2012,3,-1.0753,-0.0008,0.0178,5.3944,86.9300,10.5677,9.7797
12/31/2012,4,-1.0312,-0.1397,0.0481,5.0897,86.7433,9.8212,9.1550
12/31/2012,5,-1.0615,-0.0048,0.0192,4.8279,86.1867,9.5565,8.9328
12/31/2012,6,-1.0775,-0.0157,0.0108,4.9830,84.3783,9.6998,8.9113
12/31/2012,7,-0.9654,0.0000,0.0000,5.1593,85.3933,10.2848,9.3117
12/31/2012,8,4.7695,-0.0093,6.0345,5.0205,85.9667,10.0088,9.2115
12/31/2012,9,81.4784,74.0774,65.8161,5.5670,85.4533,10.5198,9.7525
12/31/2012,10,143.5194,23.3779,136.1056,6.4938,80.1863,11.7717,11.3967
12/31/2012,11,274.9515,27.2308,263.7226,7.7946,72.9690,13.5363,13.4883
12/31/2012,12,530.6630,494.4457,259.8253,9.5754,63.2793,15.5323,15.9592
12/31/2012,13,363.7095,234.6170,234.3149,9.6692,58.3392,16.6477,17.2370
12/31/2012,14,473.0739,441.0063,235.5404,10.2437,52.0448,16.6680,17.0758
12/31/2012,15,372.5244,486.8880,158.6095,10.6315,42.5825,16.7152,16.8540
12/31/2012,16,383.5028,739.1991,137.7954,11.3578,37.6732,17.8672,17.0245
12/31/2012,17,153.1264,530.9971,67.0646,10.7828,38.7068,16.2833,15.3855
12/31/2012,18,16.4506,76.2287,13.1141,9.6160,37.7258,14.7797,13.7335
12/31/2012,19,-1.4632,-0.4496,0.3263,8.5835,43.6035,13.3325,12.1550
12/31/2012,20,-1.4702,-0.3974,0.3459,7.7621,48.2950,12.6152,11.2888
12/31/2012,21,-1.4757,-0.3026,0.2120,7.3199,49.4107,12.4207,10.6565
12/31/2012,22,-1.5067,-0.3421,0.2312,6.8827,50.1202,11.9593,10.1488
12/31/2012,23,-1.3784,-0.1391,0.0884,5.1996,57.2777,10.2307,8.9130
1/1/2013,0,-1.3607,-0.1221,0.0377,3.8630,64.9228,8.7703,7.6762
1/1/2013,1,-1.3608,-0.0042,0.0269,2.8929,72.3268,7.8738,6.7402
1/1/2013,2,-1.3544,-0.0036,0.0034,2.7355,73.9175,7.8773,6.6103
1/1/2013,3,-1.3193,-0.0274,0.0446,2.2303,75.9693,7.4634,6.2313
1/1/2013,4,-1.3377,-0.0991,0.0219,1.8807,76.2988,6.8919,5.8377
1/1/2013,5,-1.3557,-0.1694,0.0318,2.3596,72.6612,7.5111,6.3108
1/1/2013,6,-1.2859,-0.0256,0.0212,0.3891,82.5465,5.3900,4.7526
1/1/2013,7,-1.2615,-0.1355,0.0000,0.9864,76.5007,5.9823,4.7993
1/1/2013,8,20.8979,179.8607,10.6843,1.1904,75.5478,6.2643,5.2024
1/1/2013,9,196.1109,685.9054,65.9384,2.5958,67.2182,7.6853,7.0732
1/1/2013,10,362.1661,699.1432,113.1390,4.8116,59.9772,10.0770,10.5313
1/1/2013,11,520.0641,956.1655,71.2532,7.7962,49.9430,13.4085,14.5313
1/1/2013,12,581.1035,896.1490,93.6623,9.7220,36.1433,16.0660,16.9365
1/1/2013,13,641.2521,1004.0090,67.4848,11.1303,31.0485,17.5227,18.3092
1/1/2013,14,611.0338,989.8946,73.7152,12.3155,27.8283,18.6905,19.6117
1/1/2013,15,502.5754,954.0217,60.4517,12.9313,25.6983,19.4435,19.1178
1/1/2013,16,348.4114,873.8159,52.8441,13.3900,23.8395,19.3772,19.1443
1/1/2013,17,150.9274,642.9489,40.0689,12.8975,27.3262,18.3463,17.5388
1/1/2013,18,6.9159,16.1547,8.2154,10.0978,38.2002,15.1493,14.0715
1/1/2013,19,-1.3636,-0.3933,0.2958,9.0430,41.1950,13.9017,12.7535
1/1/2013,20,-1.3619,-0.3759,0.2287,8.2925,43.4517,13.1218,11.9040
1/1/2013,21,-1.4179,-0.3551,0.2379,7.7298,46.2517,12.6097,11.2025
1/1/2013,22,-1.3627,-0.2346,0.1431,5.9322,54.5777,10.9508,9.7665
1/1/2013,23,-1.3586,-0.3186,0.0388,5.4641,57.7230,10.4180,8.9040
1/2/2013,0,-1.3456,-0.0842,0.0696,4.6017,62.6182,9.6675,8.4618
1/2/2013,1,-1.3063,-0.0439,0.0108,4.3846,63.8435,9.5473,8.2534
1/2/2013,2,-1.3294,-0.1123,0.0252,4.0130,66.7827,9.1875,7.7166
1/2/2013,3,-1.3480,-0.2280,0.0118,3.6441,68.2273,8.6338,7.2148
1/2/2013,4,-1.3220,-0.3700,0.0229,3.9103,65.4095,8.8148,7.4828
1/2/2013,5,-1.3813,-0.1060,0.0413,3.7574,65.4645,8.8387,7.5442
1/2/2013,6,-1.3329,-0.2558,0.0895,3.4410,66.5573,8.3598,7.0243
1/2/2013,7,-1.3450,-0.0859,0.0535,3.5226,61.2202,8.5612,7.0811
1/2/2013,8,20.3853,185.9228,10.0313,3.4394,62.6400,8.4911,7.2567
1/2/2013,9,173.3544,712.8039,37.9807,5.7221,53.9808,10.3357,9.7378
1/2/2013,10,359.6771,885.0133,52.7306,8.3775,44.9017,13.2790,12.9390
1/2/2013,11,511.5980,961.0217,59.9298,10.4862,36.5673,16.1427,16.0675
1/2/2013,12,608.1573,996.0250,63.1132,12.6895,29.0262,19.1035,18.7882
1/2/2013,13,639.1876,1003.8228,64.1603,14.7047,23.3603,21.2418,20.9327
1/2/2013,14,603.2070,991.7766,63.2226,16.1697,22.3437,22.9857,22.7718
1/2/2013,15,503.6796,952.9836,59.9179,16.5488,22.2282,23.1818,22.4192
1/2/2013,16,349.3744,871.3182,52.4670,16.8970,20.5613,23.0243,22.2095
1/2/2013,17,155.7136,679.2481,37.3686,16.2742,21.8952,21.6845,20.8450
1/2/2013,18,14.5238,127.5818,8.8901,13.7388,28.9292,18.7430,17.8065
1/2/2013,19,-1.8138,-0.4023,0.3579,11.7963,36.5705,16.6105,15.6113
1/2/2013,20,-1.6269,-0.4302,0.2664,11.0645,37.2710,15.7927,14.4373
1/2/2013,21,-1.5645,-0.4329,0.2133,10.3813,39.7797,15.1657,13.5463
1/2/2013,22,-1.4576,-0.4157,0.2251,8.9840,44.0353,13.8495,12.5183
1/2/2013,23,-1.3731,-0.4531,0.1623,8.4125,45.6947,13.2160,11.8358
1/3/2013,0,-1.5400,-0.3516,0.1848,7.9195,48.8470,12.8762,11.1925
1/3/2013,1,-1.3701,-0.5182,0.0726,7.1244,50.8513,11.9697,10.3702
1/3/2013,2,-1.4038,-0.2587,0.1421,6.7904,49.3747,11.7473,10.2818
1/3/2013,3,-1.3924,-0.2334,0.1005,5.5187,57.2043,10.5752,9.1770
1/3/2013,4,-1.3672,-0.6238,0.0776,6.7138,48.0683,11.3523,9.8153
1/3/2013,5,-1.3584,-0.1064,0.0682,4.9091,55.0047,10.1593,8.6575
1/3/2013,6,-1.3385,-0.3010,0.0989,4.9167,54.2417,9.8440,8.4525
1/3/2013,7,-1.3808,-0.2315,0.1088,4.6585,56.3660,9.7852,8.2093
1/3/2013,8,19.2145,164.8194,9.9318,4.9047,49.8992,9.8933,8.1839
1/3/2013,9,170.0753,686.0922,39.3158,6.8089,42.7052,11.7838,10.6948
1/3/2013,10,355.4834,862.8035,55.3223,8.7908,38.0722,13.9520,13.7915
1/3/2013,11,504.4381,933.1044,64.2823,11.8480,30.3450,17.3115,17.8142
1/3/2013,12,600.5848,968.7225,68.8113,14.1792,25.2887,20.2882,20.5725
1/3/2013,13,632.6813,978.9792,70.0964,15.6400,23.6853,21.9295,22.5570
1/3/2013,14,595.5525,961.9764,69.9708,16.8667,22.5477,22.9298,24.1133
1/3/2013,15,505.2280,918.8360,75.3490,16.9207,23.1163,23.0850,23.6088
1/3/2013,16,347.9352,828.2920,63.2571,17.2332,23.4610,22.7835,23.2482
1/3/2013,17,151.9575,606.6038,44.1774,15.4508,27.7667,20.7897,20.5048
1/3/2013,18,14.3532,102.9791,9.8915,13.0550,33.6510,17.9988,17.3787
1/3/2013,19,-1.4133,-0.0882,0.3565,11.0115,39.3805,15.9188,15.1778
1/3/2013,20,-1.3612,-0.3359,0.2787,9.8725,42.7463,14.7648,13.8680
1/3/2013,21,-1.2474,-0.1289,0.1325,9.7755,42.4775,14.8248,13.9137
1/3/2013,22,-1.3593,-0.1921,0.3098,9.0145,44.7737,14.0390,13.1280
1/3/2013,23,-1.3609,-0.2875,0.2592,8.1636,48.1538,13.1700,12.1395
1/4/2013,0,-1.3607,-0.2398,0.1973,7.5030,50.7845,12.5332,11.4473
1/4/2013,1,-1.3607,-0.3125,0.1944,7.8149,49.5958,12.7172,11.7603
1/4/2013,2,-1.3613,-0.2753,0.2493,7.3275,50.7778,12.3377,11.2928
1/4/2013,3,-1.3608,-0.3871,0.2117,7.1437,48.8137,12.0693,11.0588
1/4/2013,4,-1.3608,-0.1212,0.1675,6.6350,50.5800,11.6372,10.6923
1/4/2013,5,-1.3607,-0.0968,0.1070,6.4285,53.2663,11.4807,10.3787
1/4/2013,6,-1.3608,-0.2672,0.1018,6.0771,55.4975,10.9937,9.9720
1/4/2013,7,-1.3608,-0.0588,0.1335,5.8743,55.3612,10.8975,9.8223
1/4/2013,8,17.4896,125.4321,10.2273,5.1313,56.2177,10.0875,9.1258
1/4/2013,9,168.3597,664.1933,41.2924,6.3329,51.7098,11.4385,10.7520
1/4/2013,10,356.1276,856.5293,57.3865,8.2185,45.1467,13.7878,13.3947
1/4/2013,11,509.1102,939.8116,64.6985,10.1178,38.8925,16.0535,16.0403
1/4/2013,12,606.1528,977.8143,67.6892,11.2372,35.1223,17.4798,17.6880
1/4/2013,13,638.8404,988.8959,67.7004,12.4113,32.4553,18.7060,19.2123
1/4/2013,14,603.8649,979.1061,65.8411,13.9480,29.7027,20.2780,20.9408
1/4/2013,15,505.6854,943.6707,62.0701,14.3992,29.1113,20.5803,21.0507
1/4/2013,16,353.7211,866.3357,54.2714,15.1452,27.5692,20.7885,21.0338
1/4/2013,17,161.9495,682.4939,38.4099,15.2392,26.3850,20.1752,20.2378
1/4/2013,18,15.6798,130.7828,9.3868,13.7947,28.8933,18.4813,17.7903
1/4/2013,19,-1.7798,-0.4100,0.3283,12.0962,32.3855,16.9277,15.6960
1/4/2013,20,-1.6119,-0.4617,0.2929,10.6725,37.9950,15.5038,14.1312
1/4/2013,21,-1.5470,-0.4600,0.1851,10.1740,37.8723,15.0598,13.1682
1/4/2013,22,-1.5204,-0.3764,0.1862,9.2270,40.0678,14.1807,12.4132
1/4/2013,23,-1.3811,-0.2123,0.1744,7.9326,45.1408,12.9393,11.3913
1/5/2013,0,-1.3616,-0.5187,0.2186,7.6395,47.9377,12.5263,11.0863
1/5/2013,1,-1.3642,-0.2923,0.1938,7.2237,50.5748,12.2858,10.8602
1/5/2013,2,-1.3615,-0.2978,0.1600,7.1684,51.9560,12.1167,10.7892
1/5/2013,3,-1.3607,-0.1985,0.2441,6.2156,54.4917,11.2117,9.9345
1/5/2013,4,-1.3607,-0.2205,0.1116,5.7722,56.0097,10.6508,9.3612
1/5/2013,5,-1.3835,-0.0502,0.1441,5.0223,60.6743,10.1693,8.9868
1/5/2013,6,-1.3561,-0.2003,0.0203,3.8979,65.5605,8.8757,7.4242
1/5/2013,7,-1.3608,-0.1582,0.0128,4.0610,63.7540,9.0465,7.7007
1/5/2013,8,20.0088,178.7013,10.1432,3.8837,63.8685,8.9313,7.8752
1/5/2013,9,175.6814,721.3811,38.8296,5.1086,57.6810,10.2275,9.3972
1/5/2013,10,367.9767,906.6388,53.2088,8.4748,45.7532,13.5425,13.0570
1/5/2013,11,521.9550,978.9393,61.0710,11.7410,35.9313,17.1782,17.5642
1/5/2013,12,620.1980,1011.7763,65.4653,13.8078,30.2865,19.5908,20.4647
1/5/2013,13,652.4763,1019.6597,66.6860,15.8550,25.1042,21.9335,23.5213
1/5/2013,14,619.3096,1011.0020,65.1868,17.2993,21.2210,23.5703,24.7920
1/5/2013,15,522.9359,983.5554,60.1680,18.1978,15.4670,24.2778,25.3883
1/5/2013,16,366.5661,904.8519,52.3906,18.8250,12.1220,24.7337,24.5327
1/5/2013,17,170.6790,723.4990,38.0933,18.3128,13.6023,23.5957,22.7132
1/5/2013,18,17.6981,153.2755,9.9031,15.6960,22.8930,20.6792,19.6042
1/5/2013,19,-2.0395,-0.4334,0.3563,13.7547,28.8955,18.5075,17.2812
