Arizona Price of Natural Gas Delivered to Residential Consumers
https://www.eia.gov/dnav/ng/hist/n3010az3m.htm
01:21:28 GMT-0700 (US Mountain Standard Time)
Source: U.S. Energy Information Administration
Month,Arizona Price of Natural Gas Delivered to Residential Consumers Dollars per Thousand Cubic Feet
Feb 2018,13.92
Jan 2018,13.7
Dec 2017,14.37
Nov 2017,17.47
Oct 2017,20.02
Sep 2017,22.16
Aug 2017,23.32
Jul 2017,22.64
Jun 2017,20.4
May 2017,18.12
Apr 2017,16.75
Mar 2017,15.26
Feb 2017,
Jan 2017,12.65
Dec 2016,12.7
Nov 2016,15.69
Oct 2016,18.72
Sep 2016,20.81
Aug 2016,22.42
Jul 2016,21.61
Jun 2016,19.59
May 2016,17.54
Apr 2016,16.63
Mar 2016,18.16
Feb 2016,13.91
Jan 2016,12.06
Dec 2015,12.75
Nov 2015,14.57
Oct 2015,20.78
Sep 2015,23.01
Aug 2015,24.01
Jul 2015,23.6
Jun 2015,21.53
May 2015,19.21
Apr 2015,18.94
Mar 2015,18.94
Feb 2015,18.88
Jan 2015,14.36
Dec 2014,16.55
Nov 2014,17.48
Oct 2014,21.92
Sep 2014,23.7
Aug 2014,24.03
Jul 2014,23.29
Jun 2014,21.54
May 2014,18.99
Apr 2014,17.61
Mar 2014,18.04
Feb 2014,15.54
Jan 2014,13.03
Dec 2013,12.54
Nov 2013,15.24
Oct 2013,17.94
Sep 2013,21.26
Aug 2013,21.91
Jul 2013,21.92
Jun 2013,20.06
May 2013,17.75
Apr 2013,16.55
Mar 2013,12.38
Feb 2013,11.86
Jan 2013,11.09
Dec 2012,14.94
Nov 2012,15.74
Oct 2012,19.34
Sep 2012,21.8
Aug 2012,22.43
Jul 2012,21.99
Jun 2012,20.39
May 2012,18.55
Apr 2012,15.94
Mar 2012,14.68
Feb 2012,14.09
Jan 2012,13.3
Dec 2011,13
Nov 2011,15.46
Oct 2011,19.44
Sep 2011,22.23
Aug 2011,22.73
Jul 2011,21.75
Jun 2011,19.38
May 2011,17.62
Apr 2011,15.98
Mar 2011,14.03
Feb 2011,13.24
Jan 2011,13.12
Dec 2010,13.96
Nov 2010,16
Oct 2010,20.37
Sep 2010,22.04
Aug 2010,23.12
Jul 2010,22.26
Jun 2010,20.33
May 2010,17.87
Apr 2010,15.85
Mar 2010,14.53
Feb 2010,14.46
Jan 2010,14.14
Dec 2009,14.59
Nov 2009,17.36
Oct 2009,20.97
Sep 2009,23.7
Aug 2009,24.67
Jul 2009,23.9
