"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=0000000001&endsec=vg&freq=M&start=200101&end=201802&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Tue May 01 2018 18:35:26 GMT-0700 (US Mountain Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018"
"Average retail price of electricity","cents per kilowatthour","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"United States","","ELEC.PRICE.US-ALL.M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mountain","","ELEC.PRICE.MTN-ALL.M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arizona","cents per kilowatthour","ELEC.PRICE.AZ-ALL.M","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arizona : all sectors","cents per kilowatthour","ELEC.PRICE.AZ-ALL.M",6.35,6.48,6.57,6.87,7.86,8.01,7.78,7.87,7.77,7.71,6.37,6.49,6.39,6.49,6.46,6.65,7.60,7.95,7.62,7.84,7.71,7.72,6.51,6.56,6.46,6.71,6.64,6.79,7.78,7.99,7.78,7.88,7.79,7.79,6.62,6.66,6.63,6.82,6.78,6.90,7.84,7.96,7.91,7.94,7.94,7.63,7.05,7.08,6.97,7.08,7.05,7.38,8.20,8.32,8.32,8.30,8.32,8.12,7.11,7.09,7.16,7.20,7.22,7.61,8.69,8.89,8.91,8.86,8.83,8.66,7.66,7.69,7.52,7.59,7.72,7.88,8.80,8.84,9.37,9.30,9.12,8.93,8.03,7.92,8.04,8.16,8.26,8.61,9.44,9.89,10.01,9.99,9.50,9.19,8.36,8.48,8.48,8.67,8.71,9.04,10.04,10.12,10.38,10.39,10.09,9.74,8.76,8.65,8.54,8.68,8.71,8.85,10.20,10.50,10.75,10.59,10.31,9.70,8.88,8.69,8.65,8.75,8.79,9.33,10.06,10.50,10.76,10.55,10.22,9.76,8.80,8.73,8.68,8.72,8.81,9.39,10.29,10.55,10.69,10.65,10.30,9.89,9.04,8.97,9.08,9.30,9.30,9.76,10.47,10.81,11.10,10.91,10.66,10.11,9.22,9.37,9.27,9.46,9.27,9.79,10.62,10.91,11.12,10.89,10.67,10.04,9.24,9.18,9.34,9.46,9.51,10.00,10.68,11.25,11.37,11.16,11.00,10.24,9.17,9.15,9.20,9.36,9.38,9.84,10.74,11.03,11.25,11.14,11.04,10.35,9.47,9.46,9.62,9.67,9.67,10.23,11.23,11.34,11.63,11.30,11.14,10.94,10.07,9.99,10.00,10.19
"Arizona : residential","cents per kilowatthour","ELEC.PRICE.AZ-RES.M",6.99,7.13,7.40,8.09,9.41,9.04,8.84,8.84,8.81,8.95,7.17,7.26,7.01,7.17,7.46,7.69,9.37,8.97,8.65,8.78,8.79,8.99,7.37,7.46,7.06,7.57,7.59,7.82,9.52,9.09,8.78,8.74,8.70,8.83,7.21,7.55,7.27,7.49,7.61,8.05,9.26,9.10,8.88,8.87,8.96,8.79,8.05,7.86,7.75,7.99,8.19,8.67,9.60,9.41,9.30,9.28,9.30,9.23,8.12,7.88,8.05,8.21,8.38,8.92,10.19,10.05,9.90,9.88,9.89,9.88,8.74,8.56,8.33,8.46,8.80,9.19,10.20,9.96,10.37,10.33,10.17,10.16,9.08,8.89,8.85,9.02,9.38,10.02,11.03,11.06,10.95,10.86,10.63,10.46,9.55,9.61,9.51,9.82,9.93,10.65,11.33,11.27,11.30,11.29,11.17,10.97,9.86,9.70,9.57,9.84,9.98,10.24,11.75,11.74,11.78,11.59,11.52,10.96,10.14,10.00,9.84,9.93,10.25,10.97,11.77,11.77,11.85,11.67,11.53,11.08,10.31,9.98,10.01,10.26,10.44,11.17,11.88,11.90,11.86,11.83,11.66,11.36,10.73,10.41,10.25,10.69,10.87,11.73,12.16,12.15,12.47,12.28,12.17,12.01,11.02,10.97,10.83,11.13,11.22,11.88,12.52,12.36,12.46,12.36,12.30,11.90,11.08,10.85,10.99,11.52,11.46,12.21,12.64,12.71,12.78,12.59,12.69,12.16,11.24,10.70,10.84,11.39,11.68,12.28,12.87,12.48,12.64,12.50,12.71,12.10,11.60,11.23,11.31,11.66,11.73,12.49,13.04,12.65,12.74,12.72,13.04,12.85,12.26,12.24,12.20,12.20
"Arizona : commercial","cents per kilowatthour","ELEC.PRICE.AZ-COM.M",6.74,6.74,6.88,7.17,7.73,8.11,7.62,7.83,7.64,7.76,6.69,6.85,6.80,6.79,6.73,6.87,7.30,8.14,7.40,7.76,7.65,7.76,6.73,6.81,6.43,6.70,6.63,6.68,7.26,7.74,7.26,7.49,7.37,7.49,6.76,6.64,6.67,6.97,6.83,6.80,7.53,7.61,7.57,7.58,7.62,7.49,7.11,7.16,6.83,6.91,6.83,7.22,7.77,7.84,7.62,7.72,7.78,7.77,6.98,6.85,7.13,7.19,7.18,7.58,8.34,8.47,8.46,8.45,8.53,8.57,7.77,7.67,7.36,7.56,7.71,7.78,8.39,8.42,8.95,8.77,8.70,8.81,8.10,7.89,8.07,8.20,8.26,8.56,9.25,9.57,9.62,9.68,9.17,9.02,8.49,8.41,8.46,8.60,8.69,8.98,9.75,9.80,10.07,10.11,9.77,9.59,8.85,8.61,8.43,8.60,8.66,8.79,10.08,10.21,10.34,10.28,9.96,9.58,9.02,8.54,8.55,8.76,8.81,9.25,9.84,10.31,10.42,10.09,9.81,9.69,8.85,8.67,8.61,8.69,8.77,9.27,10.03,10.09,10.23,10.19,9.87,9.72,8.94,9.00,9.05,9.34,9.38,9.58,10.15,10.38,10.50,10.39,10.23,9.93,9.22,9.17,9.45,9.51,9.34,9.85,10.59,10.91,11.00,10.76,10.55,10.01,9.39,9.25,9.45,9.58,9.61,10.00,10.70,11.30,11.40,11.09,10.97,10.49,9.46,9.49,9.51,9.79,9.68,10.01,11.00,11.13,11.17,11.02,10.95,10.55,9.57,9.54,9.66,9.75,9.78,10.23,11.30,11.23,11.54,10.92,10.65,10.97,9.94,9.91,9.95,10.25
"Arizona : industrial","cents per kilowatthour","ELEC.PRICE.AZ-IND.M",4.64,5.02,4.95,5.04,5.69,5.79,5.55,5.65,5.63,5.35,4.76,4.70,4.64,4.93,4.71,4.99,5.45,5.69,5.50,5.67,5.41,5.49,4.98,4.79,5.04,5.07,4.85,5.31,5.52,5.54,5.65,5.86,5.76,5.80,5.15,4.75,5.04,5.09,5.05,5.07,5.57,5.65,5.55,5.69,5.63,5.45,5.16,5.16,5.31,5.48,5.44,5.46,6.18,6.13,6.26,6.18,6.25,6.14,5.47,5.74,5.14,5.14,5.18,5.20,5.95,6.12,6.15,6.11,6.04,6.02,5.34,5.67,5.47,5.59,5.62,5.68,6.31,6.26,6.47,6.88,6.20,6.28,5.80,5.71,5.88,6.06,6.11,6.23,6.48,7.26,7.51,7.62,6.67,6.63,5.88,6.23,5.86,6.18,6.13,6.17,7.09,7.14,7.40,7.34,7.03,6.98,6.19,6.12,5.95,6.16,6.14,6.24,6.89,7.08,7.44,7.47,7.01,6.85,6.10,5.95,5.89,5.98,6.01,6.27,6.83,6.97,7.37,7.42,6.83,6.88,5.99,5.86,5.65,5.78,5.76,6.09,6.89,7.03,7.47,7.42,7.01,6.95,6.15,5.89,6.03,6.13,6.12,6.27,7.05,7.11,7.39,7.42,7.02,6.84,6.06,6.18,5.83,6.36,6.01,6.13,6.82,6.75,7.10,7.01,6.70,6.56,5.97,5.94,5.84,5.98,5.95,6.14,6.80,6.82,6.97,6.83,6.55,6.11,5.54,5.39,5.38,5.33,5.39,5.63,6.11,6.39,6.70,6.99,6.79,6.39,5.70,5.83,5.92,5.87,5.76,6.07,6.79,6.93,7.41,7.34,6.70,6.54,6.13,5.76,5.91,6.18
"Arizona : transportation","cents per kilowatthour","ELEC.PRICE.AZ-TRA.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.07,7.79,7.39,8.26,10.15,9.96,11.21,11.09,11.28,10.02,7.96,8.70,8.93,8.82,8.91,8.69,10.21,10.58,11.09,11.75,10.60,10.35,9.57,8.85,8.61,8.58,8.67,8.93,10.24,11.38,11.24,8.18,10.59,10.50,8.60,8.77,9.26,8.92
"Arizona : other","cents per kilowatthour","ELEC.PRICE.AZ-OTH.M",4.43,4.63,4.70,4.73,5.11,5.18,5.17,5.28,5.02,5.11,4.74,4.73,4.33,4.30,4.25,4.56,4.73,4.77,4.57,4.68,4.54,4.58,4.60,4.69,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--" 
