year,month,day,hour,Greenhouse Solar Radiation (W/m2),Greenhouse Air Temperature (C)
2013,3,23,0,0,16.5275
2013,3,23,1,0,15.2175
2013,3,23,2,0,14.4775
2013,3,23,3,0,13.95
2013,3,23,4,0,12.9925
2013,3,23,5,0,12.06
2013,3,23,6,0,11.4375
2013,3,23,7,22.64625,11.46
2013,3,23,8,163.35,17.3375
2013,3,23,9,303.425,24.0725
2013,3,23,10,425.825,25.505
2013,3,23,11,541.975,24.895
2013,3,23,12,608.7,24.97
2013,3,23,13,602.725,25.005
2013,3,23,14,611.7,24.71
2013,3,23,15,551,24.475
2013,3,23,16,452.125,24.395
2013,3,23,17,320.5,24.0475
2013,3,23,18,170.45,24.7
2013,3,23,19,25.057,22.51
2013,3,23,20,0,18.7275
2013,3,23,21,0,16.4575
2013,3,23,22,0,14.4175
2013,3,23,23,0,12.69
2013,3,24,0,0,11.6375
2013,3,24,1,0,10.625
2013,3,24,2,0,9.92
2013,3,24,3,0,9.79
2013,3,24,4,0,9.6175
2013,3,24,5,0,8.62
2013,3,24,6,0,7.9275
2013,3,24,7,22.771,7.75
2013,3,24,8,167.175,13.985
2013,3,24,9,319.675,22.6475
2013,3,24,10,430.75,25.3525
2013,3,24,11,522.075,24.78
2013,3,24,12,549.8,24.6525
2013,3,24,13,608.15,24.7975
2013,3,24,14,628.225,24.2775
2013,3,24,15,557.8,24.455
2013,3,24,16,459.775,24.3825
2013,3,24,17,329.4,24.015
2013,3,24,18,181.675,24.3075
2013,3,24,19,29.80825,22.71
2013,3,24,20,0,18.6975
2013,3,24,21,0,16.2875
2013,3,24,22,0,14.245
2013,3,24,23,0,13.305
2013,3,25,0,0,12.6075
2013,3,25,1,0,11.75
2013,3,25,2,0,11.0625
2013,3,25,3,0,10.455
2013,3,25,4,0,9.755
2013,3,25,5,0,9.1275
2013,3,25,6,0,8.6975
2013,3,25,7,30.345,8.68
2013,3,25,8,183.55,15.78
2013,3,25,9,321.6,23.8375
2013,3,25,10,424.5,25.0125
2013,3,25,11,514.65,24.7225
2013,3,25,12,548.525,25.1975
2013,3,25,13,601.625,24.615
2013,3,25,14,626.175,24.6275
2013,3,25,15,556.975,24.57
2013,3,25,16,457,24.02
2013,3,25,17,329.6,24.2175
2013,3,25,18,183.075,24.1775
2013,3,25,19,32.26725,23.7075
2013,3,25,20,0,20.1225
2013,3,25,21,0,19.0625
2013,3,25,22,0,18.025
2013,3,25,23,0,17.285
2013,3,26,0,0,15.68
2013,3,26,1,0,14.365
2013,3,26,2,0,14.035
2013,3,26,3,0,13.18
2013,3,26,4,0,12.8325
2013,3,26,5,0,12.4025
2013,3,26,6,0,11.795
2013,3,26,7,0,11.375
2013,3,26,8,54.935,12.645
2013,3,26,9,207.5,19.415
2013,3,26,10,342.975,25.2425
2013,3,26,11,485.05,24.935
2013,3,26,12,562.8,24.88
2013,3,26,13,636.825,24.9875
2013,3,26,14,603.05,24.88
2013,3,26,15,465.7,24.9
2013,3,26,16,355.7,24.68
2013,3,26,17,312.7,24.5725
2013,3,26,18,215.575,24.405
2013,3,26,19,96.1675,24.82
2013,3,26,20,0.1595,22.3075
2013,3,26,21,0,19.6075
2013,3,26,22,0,18.6625
2013,3,26,23,0,17.685
2013,3,27,0,0,17.3075
2013,3,27,1,0,15.75
2013,3,27,2,0,14.5925
2013,3,27,3,0,14.055
2013,3,27,4,0,13.4125
2013,3,27,5,0,12.6675
2013,3,27,6,0,12.1125
2013,3,27,7,0.775,11.815
2013,3,27,8,86.665,14.465
2013,3,27,9,254.275,22.435
2013,3,27,10,346.275,25.4
2013,3,27,11,503.175,24.7925
2013,3,27,12,596.1,24.685
2013,3,27,13,612.3,24.9675
2013,3,27,14,620.775,24.83
2013,3,27,15,371.475,24.77
2013,3,27,16,362.75,24.64
2013,3,27,17,210.475,25.03
2013,3,27,18,166.375,25.6
2013,3,27,19,79.34,25.06
2013,3,27,20,0.1295,22.62
2013,3,27,21,0,20.8225
2013,3,27,22,0,19.5275
2013,3,27,23,0,18.0925
2013,3,28,0,0,16.7675
2013,3,28,1,0,15.43
2013,3,28,2,0,15.1675
2013,3,28,3,0,14.33
2013,3,28,4,0,13.6375
2013,3,28,5,0,13.175
2013,3,28,6,0,12.5325
2013,3,28,7,0.42775,11.7625
2013,3,28,8,107.965,15.3575
2013,3,28,9,254.475,23.0725
2013,3,28,10,381.425,25.2975
2013,3,28,11,485.2,24.97
2013,3,28,12,493.65,24.6825
2013,3,28,13,547.75,24.6525
2013,3,28,14,570.1,24.7875
2013,3,28,15,603.075,24.785
2013,3,28,16,501.675,24.7625
2013,3,28,17,388.875,24.33
2013,3,28,18,170.925,24.5825
2013,3,28,19,53.9075,25.1175
2013,3,28,20,0.24025,22.7125
2013,3,28,21,0,20.9525
2013,3,28,22,0,19.9675
2013,3,28,23,0,19.725
2013,3,29,0,0,19.1075
2013,3,29,1,0,18.4475
2013,3,29,2,0,16.76
2013,3,29,3,0,15.4325
2013,3,29,4,0,14.61
2013,3,29,5,0,13.5
2013,3,29,6,0,12.775
2013,3,29,7,1.7855,12.29
2013,3,29,8,103.4675,15.555
2013,3,29,9,249.725,23.8725
2013,3,29,10,376.6,24.7575
2013,3,29,11,501.55,24.81
2013,3,29,12,601.375,25.04
2013,3,29,13,629.95,24.8375
2013,3,29,14,624,25.1175
2013,3,29,15,577.85,25.1525
2013,3,29,16,512.6,24.765
2013,3,29,17,417.65,21.3275
2013,3,29,18,266.425,24.125
2013,3,29,19,107.3525,24.73
2013,3,29,20,0.19825,22.7875
2013,3,29,21,0,20.2875
2013,3,29,22,0,19.1775
2013,3,29,23,0,17.845
2013,3,30,0,0,17.0575
2013,3,30,1,0,16.6375
2013,3,30,2,0,16.14
2013,3,30,3,0,15.1175
2013,3,30,4,0,15.27
2013,3,30,5,0,15.1125
2013,3,30,6,0,15.065
2013,3,30,7,2.51775,14.72
2013,3,30,8,57.61,16.005
2013,3,30,9,146.75,19.6725
2013,3,30,10,234.875,24.635
2013,3,30,11,302.05,24.72
