Series Id,Year,Period,Value
APU0000FL2101,2008,M01,1.724
APU0000FL2101,2008,M02,1.682
APU0000FL2101,2008,M03,1.587
APU0000FL2101,2008,M04,1.557
APU0000FL2101,2008,M05,1.581
APU0000FL2101,2008,M06,1.590
APU0000FL2101,2008,M07,1.609
APU0000FL2101,2008,M08,1.748
APU0000FL2101,2008,M09,1.884
APU0000FL2101,2008,M10,1.834
APU0000FL2101,2008,M11,1.912
APU0000FL2101,2008,M12,1.821
APU0000FL2101,2009,M01,1.851
APU0000FL2101,2009,M02,1.758
APU0000FL2101,2009,M03,1.762
APU0000FL2101,2009,M04,1.692
APU0000FL2101,2009,M05,1.662
APU0000FL2101,2009,M06,1.637
APU0000FL2101,2009,M07,1.680
APU0000FL2101,2009,M08,1.697
APU0000FL2101,2009,M09,1.678
APU0000FL2101,2009,M10,1.621
APU0000FL2101,2009,M11,1.931
APU0000FL2101,2009,M12,2.097
APU0000FL2101,2010,M01,1.959
APU0000FL2101,2010,M02,1.822
APU0000FL2101,2010,M03,1.776
APU0000FL2101,2010,M04,1.795
APU0000FL2101,2010,M05,1.720
APU0000FL2101,2010,M06,1.847
APU0000FL2101,2010,M07,1.796
APU0000FL2101,2010,M08,1.758
APU0000FL2101,2010,M09,1.781
APU0000FL2101,2010,M10,1.674
APU0000FL2101,2010,M11,1.758
APU0000FL2101,2010,M12,1.828
APU0000FL2101,2011,M01,1.866
APU0000FL2101,2011,M02,1.993
APU0000FL2101,2011,M03,2.182
APU0000FL2101,2011,M04,1.772
APU0000FL2101,2011,M05,1.760
APU0000FL2101,2011,M06,1.638
APU0000FL2101,2011,M07,1.619
APU0000FL2101,2011,M08,1.660
APU0000FL2101,2011,M09,1.685
APU0000FL2101,2011,M10,1.723
APU0000FL2101,2011,M11,1.758
APU0000FL2101,2011,M12,1.707
APU0000FL2101,2012,M01,1.671
APU0000FL2101,2012,M02,1.630
APU0000FL2101,2012,M03,1.509
APU0000FL2101,2012,M04,1.470
APU0000FL2101,2012,M05,1.422
APU0000FL2101,2012,M06,1.422
APU0000FL2101,2012,M07,1.520
APU0000FL2101,2012,M08,1.506
APU0000FL2101,2012,M09,1.533
APU0000FL2101,2012,M10,1.529
APU0000FL2101,2012,M11,1.519
APU0000FL2101,2012,M12,1.487
APU0000FL2101,2013,M01,1.924
APU0000FL2101,2013,M02,2.114
APU0000FL2101,2013,M03,2.072
APU0000FL2101,2013,M04,1.727
APU0000FL2101,2013,M05,1.457
APU0000FL2101,2013,M06,1.424
APU0000FL2101,2013,M07,1.543
APU0000FL2101,2013,M08,1.620
APU0000FL2101,2013,M09,1.559
APU0000FL2101,2013,M10,1.630
APU0000FL2101,2013,M11,1.772
APU0000FL2101,2013,M12,1.701
APU0000FL2101,2014,M01,1.650
APU0000FL2101,2014,M02,1.510
APU0000FL2101,2014,M03,1.565
APU0000FL2101,2014,M04,1.569
APU0000FL2101,2014,M05,1.600
APU0000FL2101,2014,M06,1.790
APU0000FL2101,2014,M07,1.756
APU0000FL2101,2014,M08,1.710
APU0000FL2101,2014,M09,1.658
APU0000FL2101,2014,M10,1.753
APU0000FL2101,2014,M11,1.936
APU0000FL2101,2014,M12,1.826
APU0000FL2101,2015,M01,2.047
APU0000FL2101,2015,M02,2.195
APU0000FL2101,2015,M03,2.007
APU0000FL2101,2015,M04,1.868
APU0000FL2101,2015,M05,1.904
APU0000FL2101,2015,M06,1.977
APU0000FL2101,2015,M07,1.848
APU0000FL2101,2015,M08,1.790
APU0000FL2101,2015,M09,1.926
APU0000FL2101,2015,M10,1.953
APU0000FL2101,2015,M11,2.116
APU0000FL2101,2015,M12,2.205
APU0000FL2101,2016,M01,2.060
APU0000FL2101,2016,M02,2.030
APU0000FL2101,2016,M03,1.894
APU0000FL2101,2016,M04,1.887
APU0000FL2101,2016,M05,1.992
APU0000FL2101,2016,M06,2.029
APU0000FL2101,2016,M07,1.953
APU0000FL2101,2016,M08,1.862
APU0000FL2101,2016,M09,1.810
APU0000FL2101,2016,M10,1.794
APU0000FL2101,2016,M11,1.901
APU0000FL2101,2016,M12,1.873
APU0000FL2101,2017,M01,1.802
APU0000FL2101,2017,M02,1.944
APU0000FL2101,2017,M03,2.038
APU0000FL2101,2017,M04,2.439
APU0000FL2101,2017,M05,2.325
APU0000FL2101,2017,M06,2.179
APU0000FL2101,2017,M07,2.027
APU0000FL2101,2017,M08,2.088
APU0000FL2101,2017,M09,2.036
APU0000FL2101,2017,M10,2.125
APU0000FL2101,2017,M11,2.148
APU0000FL2101,2017,M12,2.159
APU0000FL2101,2018,M01,2.127
APU0000FL2101,2018,M02,2.072


